begin	end	'elab.conway.power'	'AMD RAPL PCKG'	'AMD RAPL SINGLE_CORE'	experiment	thread_count	frequency	cstate	
52371824408336400	52377820369503600	229.169	140.257	6.60086	13	24	1500000000	2	
52381818574036600	52387816444788400	189.729	124.76	13.3529	3	24	1500000000	2	
52391815906869800	52397816295672200	190.144	126.599	15.2195	9	24	1500000000	2	
52401816463978000	52407816462223000	184.036	116.184	4.66813	11	24	1500000000	2	
52411818587167600	52417824852966400	220.5	151.153	31.8248	7	24	1500000000	2	
52421824617968000	52427817407924000	191.774	123.353	11.9267	4	28	1500000000	2	
52431815042022800	52437815000013200	194.197	126.398	15.0141	5	28	1500000000	2	
52441815323875000	52447816135450000	241.796	158.242	16.3785	8	28	1500000000	2	
52451822217060000	52457839218315000	242.083	146.735	8.76397	14	28	1500000000	2	
52461842924390000	52467836144930000	241.232	145.908	7.94304	13	28	1500000000	2	
52471830348197600	52477819411600400	191.389	126.941	15.5141	3	28	1500000000	2	
52481815639664800	52487815141385200	191.595	129.011	17.64	9	28	1500000000	2	
52491815018842800	52497815030215200	184.669	116.97	5.43449	11	28	1500000000	2	
52501816617605400	52507821241083600	224.5	154.941	37.1437	7	28	1500000000	2	
52511821187269200	52517816167687800	193.236	125.08	13.6271	4	32	1500000000	2	
52521814525581000	52527814463772000	196.19	128.683	17.2784	5	32	1500000000	2	
52531815167776000	52537817188477000	247.151	162.102	18.064	8	32	1500000000	2	
52541821145418200	52547830492140800	244.515	148.255	9.59191	14	32	1500000000	2	
52551833927597800	52557834041096200	243.273	147.346	8.72728	13	32	1500000000	2	
52561830258638400	52567818554556600	193.335	129.296	17.8548	3	32	1500000000	2	
52571814846040800	52577815301065200	193.42	131.594	20.2121	9	32	1500000000	2	
52581816112259200	52587817971446800	185.48	117.859	6.2672	11	32	1500000000	2	
52591820012361400	52597824155857600	234.426	163.826	42.107	7	32	1500000000	2	
52601823357733000	52607816577523000	181.739	113.267	1.77232	4	4	1500000000	2	
52611814303389800	52617814083120200	182.082	113.711	2.26146	5	4	1500000000	2	
52621814037911800	52627813964426200	198.159	125.981	2.89468	8	4	1500000000	2	
52631814008614000	52637814060433000	200.22	124.922	1.70973	14	4	1500000000	2	
52641814071430800	52647813876505200	200.308	124.824	1.60277	13	4	1500000000	2	
52651813914380800	52657814065913200	181.609	113.787	2.34708	3	4	1500000000	2	
52661814087230800	52667813771351200	181.774	114.072	2.65694	9	4	1500000000	2	
52671813693065000	52677813617996000	180.79	112.316	0.901902	11	4	1500000000	2	
52681813621039800	52687813551100200	186.514	117.828	5.66562	7	4	1500000000	2	
52691813555231800	52697813481206200	183.267	114.982	3.57502	4	8	1500000000	2	
